[2026-09-03T14:16:30.125Z] GET http://localhost:5173/v1/metrics/cost → 200 (32ms, 27730B)
[2026-09-03T14:16:30.125Z] GET http://localhost:5173/v1/metrics/cost → 200 (31ms, 27730B)
[2026-09-03T14:16:41.411Z] GET http://localhost:5173/v1/metrics/summary → 200 (29ms, 184B)
[2026-09-03T14:16:41.411Z] GET http://localhost:5173/v1/metrics/summary → 200 (16ms, 184B)
[2026-09-03T14:16:54.859Z] GET http://localhost:5173/v1/events → pending (?ms, ?B)
[2026-09-03T14:16:54.859Z] GET http://localhost:5173/v1/runs → 200 (31ms, 105590B)
[2026-09-03T14:16:54.859Z] GET http://localhost:5173/v1/events → 200 (31ms, ?B)
[2026-09-03T14:16:54.859Z] GET http://localhost:5173/v1/runs → 200 (31ms, 105590B)
[2026-09-03T14:16:59.921Z] GET http://localhost:5173/v1/runs → 200 (8ms, 105599B)
[2026-09-03T14:17:04.924Z] GET http://localhost:5173/v1/runs → 200 (8ms, 105598B)
[2026-09-03T14:17:09.913Z] GET http://localhost:5173/v1/runs → 200 (7ms, 105590B)
[2026-09-03T14:17:14.867Z] GET http://localhost:5173/v1/runs → 200 (7ms, 114275B)
[2026-09-03T14:17:19.897Z] GET http://localhost:5173/v1/runs → 200 (8ms, 114276B)
[2026-09-03T14:17:24.916Z] GET http://localhost:5173/v1/runs → 200 (7ms, 114275B)
[2026-09-03T14:17:29.890Z] GET http://localhost:5173/v1/runs → 200 (8ms, 114267B)
[2026-09-03T14:17:34.930Z] GET http://localhost:5173/v1/runs → 200 (7ms, 114276B)
[2026-09-03T14:17:39.935Z] GET http://localhost:5173/v1/runs → 200 (7ms, 114276B)
[2026-09-03T14:17:44.935Z] GET http://localhost:5173/v1/runs → 200 (7ms, 114267B)
[2026-09-03T14:17:49.935Z] GET http://localhost:5173/v1/runs → 200 (8ms, 114276B)
[2026-09-03T14:17:54.873Z] GET http://localhost:5173/v1/runs → 200 (8ms, 114276B)
[2026-09-03T14:17:59.935Z] GET http://localhost:5173/v1/runs → 200 (8ms, 114267B)
[2026-09-03T14:18:04.895Z] GET http://localhost:5173/v1/runs → 200 (7ms, 114276B)
[2026-09-03T14:18:09.895Z] GET http://localhost:5173/v1/runs → 200 (10ms, 114267B)
[2026-09-03T14:18:14.878Z] GET http://localhost:5173/v1/runs → 200 (6ms, 114276B)
[2026-09-03T14:18:19.935Z] GET http://localhost:5173/v1/runs → 200 (9ms, 114267B)
[2026-09-03T14:18:24.864Z] GET http://localhost:5173/v1/runs → 200 (5ms, 114267B)
[2026-09-03T14:18:29.935Z] GET http://localhost:5173/v1/runs → 200 (7ms, 114267B)
[2026-09-03T14:18:34.931Z] GET http://localhost:5173/v1/runs → 200 (8ms, 114276B)
